symbol,direction,ob_size_pct,atr_pct,rsi,price_vs_ema,candle_body_pct,upper_wick_pct,lower_wick_pct,distance_to_ob_pct,hour_of_day,label
R_75,SELL,0.0063287111295326414,0.003394671560997006,52.77201809400959,0.0034170223239092558,0.004369588054884917,0.0015544208049374768,0.0004046729766692416,0.00040471559881874783,23,1
R_75,SELL,0.0029339154840530577,0.00295724880945553,58.54435973618079,0.005916780824319822,0.0018260025098259095,0.001031512623266175,7.638153375852878e-05,0.0019023572290708412,15,1
R_75,SELL,0.003500103581345082,0.0035026490181035556,51.17228203611991,0.0005761603033342226,0.00017487389523683606,0.001968876701393833,0.001356393871162902,0.001531268884388522,8,1
R_75,SELL,0.003919488321824632,0.0032640630047743816,59.36938697055862,0.006044640464587977,0.00134825237137558,0.00174010760745929,0.0008310738194197394,0.002179330559152498,18,1
R_75,BUY,0.0033353847444750895,0.0032513111666584694,48.20378769380497,0.0034349016171155915,0.0006357417506479752,0.0013835847739543004,0.0013160758786276002,0.00201927249930272,17,1
R_75,SELL,0.002806005939684467,0.0032058515152577054,70.16720690381582,0.0129970628703262,0.00010566859045733467,0.0014299039287050041,0.001270443609657806,0.0012704173596810556,18,1
R_75,SELL,0.004025553502289748,0.0038867333296373693,47.091780265016645,-0.0027012603773224606,0.001258406479256012,0.0012272450020608227,0.0015398747462340328,0.0027982623971219167,20,1
R_75,SELL,0.003441098019938196,0.0032151885973026053,60.61781133659613,0.00803729516880118,0.0012661949270378243,0.0003286401343580023,0.0018462283535781744,0.001846229245458634,10,1
R_75,SELL,0.004968873015762491,0.0033762326179921816,77.24569650364404,0.015918515921551392,0.003849125096302337,0.001119776884219709,0.0,0.003849072204132742,13,1
R_75,SELL,0.0036167219039836902,0.00319742173358344,59.305201759292856,0.002828664310692154,0.002179943423958814,0.0013628918262830125,7.389384059088472e-05,0.0022538161831257633,5,1
R_75,BUY,0.002280539734010191,0.003437913367085013,46.85264394231924,-0.001393752394653753,0.0006930470055303764,0.000579740662062629,0.001007705784337022,0.0005797597998004019,11,1
R_75,SELL,0.004163518782853231,0.0033264394088850457,44.63201248684814,-0.00716221028676148,0.0009785563298943187,0.001971840125259083,0.0012131402037141002,0.0021916841882947324,17,1
R_75,BUY,0.0034497678165317453,0.0032561709526964665,40.87157964464174,-0.0014299007781507257,0.0013656140360509236,3.5869621436468445e-05,0.002048272811851602,0.001401472414397271,4,0
R_75,SELL,0.004665658554184077,0.002960196785957125,59.84021210968748,0.0054336334401079295,0.0022696855580475782,0.0016012225194051055,0.0007947872906948608,0.003064449737754287,8,1
R_75,SELL,0.005999016565611409,0.0033414608722330233,43.20960783461915,-0.0073521593587459345,0.004642111692091008,0.0007078453161412822,0.0006490688956967699,0.0006490523175597901,12,1
R_75,SELL,0.00337530066217667,0.0034256363847686125,56.51623517259571,-0.001140690815814172,0.0023616144857107994,0.0005166814190496508,0.0004970147557732979,0.0028586445021345414,14,1
R_75,BUY,0.00328559516337282,0.0033918615087613403,48.594827005842,-0.00036119163043604334,0.0007296733508068595,0.002048961320192899,0.0005069179600474746,0.0020489739503505287,22,1
